"Symbol","Synonym Symbol","Scientific Name with Author","National Common Name","Family"
"ACARO2","","Acarospora A. Massal.","cracked lichen","Acarosporaceae"
"ACSC5","","Acarospora schleicheri (Ach.) A. Massal.","Schleicher's cracked lichen","Acarosporaceae"
"ACSC5","ACAL14","Acarospora albida H. Magn.","","Acarosporaceae"
"ACSC5","ACAM6","Acarospora amabilis H. Magn.","","Acarosporaceae"
"ACSC5","ACBE5","Acarospora bella (Nyl.) Jatta","","Acarosporaceae"
"ACSC5","ACCH4","Acarospora chrysops (Tuck.) H. Magn.","","Acarosporaceae"
"ACSC5","ACCO13","Acarospora contigua H. Magn.","","Acarosporaceae"
"ACSC5","ACDI5","Acarospora dissipata H. Magn.","","Acarosporaceae"
"ACSC5","ACEP","Acarospora epilutescens Zahlbr.","","Acarosporaceae"
"ACSC5","ACEV","Acarospora evoluta H. Magn.","","Acarosporaceae"
"ACSC5","ACIN10","Acarospora intercedens H. Magn.","","Acarosporaceae"
"ACSC5","ACOC2","Acarospora ocellata H. Magn.","","Acarosporaceae"
"ACSC5","ACRH2","Acarospora rhabarbarina Hue","","Acarosporaceae"
"ACSC5","ACRI5","Acarospora rimulosa H. Magn.","","Acarosporaceae"
"ACSC5","ACRU6","Acarospora rubicunda H. Magn.","","Acarosporaceae"
"ACSC5","ACSU7","Acarospora subalbida H. Magn.","","Acarosporaceae"
"ACSC5","ACSU8","Acarospora subcontigua H. Magn.","","Acarosporaceae"
"ACSC5","ACXA2","Acarospora xanthophana (Nyl.) Jatta","","Acarosporaceae"
"ACER","","Acer L.","maple","Aceraceae"
"ACGL","","Acer glabrum Torr.","Rocky Mountain maple","Aceraceae"
"ACGLD3","","Acer glabrum Torr. var. diffusum (Greene) Smiley","Rocky Mountain maple","Aceraceae"
"ACGLD3","ACDI","Acer diffusum Greene","","Aceraceae"
"ACGLD3","ACGLD","Acer glabrum Torr. ssp. diffusum (Greene) A.E. Murray","","Aceraceae"
"ACGLD4","","Acer glabrum Torr. var. douglasii (Hook.) Dippel","Douglas maple","Aceraceae"
"ACGLD4","ACDO","Acer douglasii Hook.","","Aceraceae"
"ACGLD4","ACGLD2","Acer glabrum Torr. ssp. douglasii (Hook.) Wesmael","","Aceraceae"
"ACGLG2","","Acer glabrum Torr. var. glabrum","Rocky Mountain maple","Aceraceae"
"ACGLG2","ACGLT3","Acer glabrum Torr. var. tripartitum (Nutt. ex Torr. & A. Gray) Pax","","Aceraceae"
"ACGLG2","ACGLT4","Acer glabrum Torr. var. typicum (Wesmael) Keller","","Aceraceae"
"ACGLG2","ACTR3","Acer tripartitum Nutt. ex Torr. & A. Gray","","Aceraceae"
"ACGLT2","","Acer glabrum Torr. var. torreyi (Greene) Smiley","Torrey maple","Aceraceae"
"ACGLT2","ACGLT","Acer glabrum Torr. ssp. torreyi (Greene) A.E. Murray","","Aceraceae"
"ACGLT2","ACTO2","Acer torreyi Greene","","Aceraceae"
"ACGR3","","Acer grandidentatum Nutt.","bigtooth maple","Aceraceae"
"ACGRG","","Acer grandidentatum Nutt. var. grandidentatum","bigtooth maple","Aceraceae"
"ACGRG","ACSAG2","Acer saccharum Marshall ssp. grandidentatum (Nutt.) Desmarais","","Aceraceae"
"ACGRG","ACSAG3","Acer saccharum Marshall var. grandidentatum (Nutt.) Sudw.","","Aceraceae"
"ACGRG","SAGR17","Saccharodendron grandidentatum (Nutt.) Nieuwl.","","Aceraceae"
"ACNE2","","Acer negundo L.","boxelder","Aceraceae"
"ACNEI2","","Acer negundo L. var. interius (Britton) Sarg.","boxelder","Aceraceae"
"ACNEI2","ACIN3","Acer interius Britton","","Aceraceae"
"ACNEI2","ACNEI","Acer negundo L. ssp. interius (Britton) Á. Löve & D. Löve","","Aceraceae"
"ACNEI2","NEACI","Negundo aceroides (L.) Moench ssp. interius (Britton) Á. Löve & D. Löve","","Aceraceae"
"ACNEI2","NEIN3","Negundo interius (Britton) Rydb.","","Aceraceae"
"AGAVE","","Agave L.","agave","Agavaceae"
"AGUT","","Agave utahensis Engelm.","Utah agave","Agavaceae"
"AGUTE","","Agave utahensis Engelm. var. eborispina (Hester) Breitung","Utah agave","Agavaceae"
"AGUTN","","Agave utahensis Engelm. var. nevadensis Engelm. ex Greenm. & Roush","Nevada agave","Agavaceae"
"AGUTU","","Agave utahensis Engelm. var. utahensis","Utah agave","Agavaceae"
"YUBA","","Yucca baccata Torr.","banana yucca","Agavaceae"
"YUBA","YUBAB","Yucca baccata Torr. var. baccata","","Agavaceae"
"YUBA","YUBAV","Yucca baccata Torr. var. vespertina McKelvey","","Agavaceae"
"YUBA","YUCO2","Yucca confinis McKelvey","","Agavaceae"
"YUBA","YUVE2","Yucca vespertina (McKelvey) S.L. Welsh","","Agavaceae"
"YUBR","","Yucca brevifolia Engelm.","Joshua tree","Agavaceae"
"YUBRB","","Yucca brevifolia Engelm. var. brevifolia","Joshua tree","Agavaceae"
"YUBRB","CLBR3","Clistoyucca brevifolia (Engelm.) Rydb.","","Agavaceae"
"YUBRB","YUBRH","Yucca brevifolia Engelm. var. herbertii (J.M. Webber) Munz","","Agavaceae"
"YUBRJ","","Yucca brevifolia Engelm. var. jaegeriana McKelvey","Jaeger's Joshua tree","Agavaceae"
"YUCCA","","Yucca L.","yucca","Agavaceae"
"YUEL","","Yucca elata (Engelm.) Engelm.","soaptree yucca","Agavaceae"
"YUEL","YUANE","Yucca angustissima Engelm. ex Trel. var. elata Engelm.","","Agavaceae"
"YUEL","YUELE","Yucca elata (Engelm.) Engelm. var. elata","","Agavaceae"
"YUEL","YUELU","Yucca elata (Engelm.) Engelm. var. utahensis (McKelvey) Reveal","","Agavaceae"
"YUEL","YUELV","Yucca elata (Engelm.) Engelm. var. verdiensis (McKelvey) Reveal","","Agavaceae"
"YUEL","YUUT2","Yucca utahensis McKelvey","","Agavaceae"
"YUEL","YUVE","Yucca verdiensis McKelvey","","Agavaceae"
"YUHA","","Yucca harrimaniae Trel.","Spanish bayonet","Agavaceae"
"YUHAH","","Yucca harrimaniae Trel. var. harrimaniae","Spanish bayonet","Agavaceae"
"YUHAH","YUGI2","Yucca gilbertiana (Trel.) Rydb.","","Agavaceae"
"YUHAH","YUHAG","Yucca harrimaniae Trel. var. gilbertiana Trel.","","Agavaceae"
"YUSC2","","Yucca schidigera Roezl ex Ortgies","Mojave yucca","Agavaceae"
"YUSC2","YUCA3","Yucca californica Nutt. ex Baker","","Agavaceae"
"YUSC2","YUMA","Yucca macrocarpa Merriam, non Engelm.","","Agavaceae"
"YUSC2","YUMO2","Yucca mohavensis Sarg.","","Agavaceae"
"CYHU3","","Cypselea humifusa Turp.","panal","Aizoaceae"
"CYPSE","","Cypselea Turp.","cypselea","Aizoaceae"
"SESUV","","Sesuvium L.","seapurslane","Aizoaceae"
"SEVE2","","Sesuvium verrucosum Raf.","verrucose seapurslane","Aizoaceae"
"SEVE2","SEER3","Sesuvium erectum Correll","","Aizoaceae"
"TRIAN","","Trianthema L.","trianthema","Aizoaceae"
"TRPO2","","Trianthema portulacastrum L.","desert horsepurslane","Aizoaceae"
"ALGR","","Alisma gramineum Lej.","narrowleaf water plantain","Alismataceae"
"ALGR","ALGE3","Alisma geyeri Torr.","","Alismataceae"
"ALGR","ALGRA","Alisma gramineum Lej. var. angustissimum (DC.) A.J. Hendricks","","Alismataceae"
"ALGR","ALGRG2","Alisma gramineum Lej. var. geyeri (Torr.) Lam.","","Alismataceae"
"ALGR","ALGRG3","Alisma gramineum Lej. var. graminifolium (Wahlenb.) A.J. Hendricks","","Alismataceae"
"ALGR","ALGRW","Alisma gramineum Lej. var. wahlenbergii auct. non (Holmb.) Raymond & Kucyniak","","Alismataceae"
"ALGR","ALLA5","Alisma lanceolatum A. Gray","","Alismataceae"
"ALISM","","Alisma L.","water plantain","Alismataceae"
"ALTR7","","Alisma triviale Pursh","northern water plantain","Alismataceae"
"ALTR7","ALBR10","Alisma brevipes Greene","","Alismataceae"
"ALTR7","ALPLB","Alisma plantago-aquatica L. ssp. brevipes (Greene) Sam.","","Alismataceae"
"ALTR7","ALPLA","Alisma plantago-aquatica L. var. americanum Schult.","","Alismataceae"
"ALTR7","ALPLB2","Alisma plantago-aquatica L. var. brevipes (Greene) Vict.","","Alismataceae"
"DACA12","","Damasonium californicum Torr. ex Benth.","California damsonium","Alismataceae"
"DACA12","MACA3","Machaerocarpus californicus (Torr. ex Benth.) Small","","Alismataceae"
"DAMAS","","Damasonium Hill","damasonium","Alismataceae"
"ECBE2","","Echinodorus berteroi (Spreng.) Fassett","upright burhead","Alismataceae"
"ECBE2","ECBEL","Echinodorus berteroi (Spreng.) Fassett var. lanceolatus (Engelm. ex S. Watson & J.M. Coult.) Fassett","","Alismataceae"
"ECBE2","ECRO","Echinodorus rostratus (Nutt.) Engelm.","","Alismataceae"
"ECBE2","ECROL","Echinodorus rostratus (Nutt.) Engelm. var. lanceolatus Engelm. ex S. Watson & J.M. Coult.","","Alismataceae"
"ECHIN6","","Echinodorus Rich. ex Engelm.","burhead","Alismataceae"
"SACU","","Sagittaria cuneata Sheldon","arumleaf arrowhead","Alismataceae"
"SACU","SAAR26","Sagittaria arifolia Nutt. ex J.G. Sm.","","Alismataceae"
"SAGIT","","Sagittaria L.","arrowhead","Alismataceae"
"AMAL","","Amaranthus albus L.","prostrate pigweed","Amaranthaceae"
"AMAL","AMALP3","Amaranthus albus L. var. pubescens (Uline & Bray) Fernald","","Amaranthaceae"
"AMAL","AMGRP","Amaranthus graecizans L. var. pubescens Uline & Bray","","Amaranthaceae"
"AMAL","AMPU","Amaranthus pubescens (Uline & Bray) Rydb.","","Amaranthaceae"
"AMARA","","Amaranthus L.","pigweed","Amaranthaceae"
"AMBL","","Amaranthus blitoides S. Watson","mat amaranth","Amaranthaceae"
"AMBL","AMGR","Amaranthus graecizans auct. non L.","","Amaranthaceae"
"AMCA","","Amaranthus californicus (Moq.) S. Watson","California amaranth","Amaranthaceae"
"AMCA","AMAL4","Amaranthus albomarginatus Uline & Bray","","Amaranthaceae"
"AMCA","AMMI5","Amaranthus microphyllus Shinners","","Amaranthaceae"
"AMFI","","Amaranthus fimbriatus (Torr.) Benth. ex S. Watson","fringed amaranth","Amaranthaceae"
"AMFI","AMFIF","Amaranthus fimbriatus (Torr.) Benth. ex S. Watson var. fimbriatus","","Amaranthaceae"
"AMHY","","Amaranthus hybridus L.","slim amaranth","Amaranthaceae"
"AMHY","AMCH7","Amaranthus chlorostachys Willd.","","Amaranthaceae"
"AMHY","AMIN6","Amaranthus incurvatus Tim. ex Gren. & Godr.","","Amaranthaceae"
"AMHY","AMPA11","Amaranthus patulus Bertol.","","Amaranthaceae"
"AMPA","","Amaranthus palmeri S. Watson","carelessweed","Amaranthaceae"
"AMPO2","","Amaranthus powellii S. Watson","Powell's amaranth","Amaranthaceae"
"AMPOP","","Amaranthus powellii S. Watson ssp. powellii","Powell's amaranth","Amaranthaceae"
"AMPOP","AMBR4","Amaranthus bracteosus Uline & Bray","","Amaranthaceae"
"AMPOP","AMREP","Amaranthus retroflexus L. var. powellii (S. Watson) B. Boivin","","Amaranthaceae"
"AMPOP","AMVI4","Amaranthus viscidulus Greene","","Amaranthaceae"
"AMPR","","Amaranthus pringlei S. Watson","Pringle's amaranth","Amaranthaceae"
"AMRE","","Amaranthus retroflexus L.","redroot amaranth","Amaranthaceae"
"AMRE","AMRES","Amaranthus retroflexus L. var. salicifolius I.M. Johnst.","","Amaranthaceae"
"TIDES","","Tidestromia Standl.","honeysweet","Amaranthaceae"
"TILA2","","Tidestromia lanuginosa (Nutt.) Standl.","woolly tidestromia","Amaranthaceae"
"TILA2","CLLA7","Cladothrix lanuginosa Nutt.","","Amaranthaceae"
"TIOB","","Tidestromia oblongifolia (S. Watson) Standl.","Arizona honeysweet","Amaranthaceae"
"RHGL","","Rhus glabra L.","smooth sumac","Anacardiaceae"
"RHGL","RHCA15","Rhus calophylla Greene","","Anacardiaceae"
"RHGL","RHGLC2","Rhus glabra L. var. cismontana (Greene) Cockerell","","Anacardiaceae"
"RHGL","RHGLL2","Rhus glabra L. var. laciniata Carrière","","Anacardiaceae"
"RHGL","RHGLO","Rhus glabra L. var. occidentalis Torr.","","Anacardiaceae"
"RHTR","","Rhus trilobata Nutt.","skunkbush sumac","Anacardiaceae"
"RHTRA","","Rhus trilobata Nutt. var. anisophylla (Greene) Jeps.","skunkbush sumac","Anacardiaceae"
"RHTRA","SCAN6","Schmaltzia anisophylla Greene","","Anacardiaceae"
"RHTRA","SCTRA","Schmaltzia trilobata (Nutt.) Small var. anisophylla (Greene) F.A. Barkley","","Anacardiaceae"
"RHTRQ","","Rhus trilobata Nutt. var. quinata (Greene) Jeps.","skunkbush sumac","Anacardiaceae"
"RHTRS","","Rhus trilobata Nutt. var. simplicifolia (Greene) F.A. Barkley","skunkbush sumac","Anacardiaceae"
"RHTRS","RHARS3","Rhus aromatica Aiton var. simplicifolia (Greene) Cronquist","","Anacardiaceae"
"RHTRT","","Rhus trilobata Nutt. var. trilobata","skunkbush sumac","Anacardiaceae"
"RHTRT","RHARF2","Rhus aromatica Aiton ssp. flabelliformis (Shinners) R.E. Brooks","","Anacardiaceae"
"RHTRT","RHART","Rhus aromatica Aiton ssp. trilobata (Nutt.) W.A. Weber","","Anacardiaceae"
"RHTRT","RHARF","Rhus aromatica Aiton var. flabelliformis Shinners","","Anacardiaceae"
"RHTRT","RHART2","Rhus aromatica Aiton var. trilobata (Nutt.) A. Gray ex S. Watson","","Anacardiaceae"
"RHTRT","SCTR4","Schmaltzia trilobata (Nutt.) Small","","Anacardiaceae"
"RHUS","","Rhus L.","sumac","Anacardiaceae"
"TODI","","Toxicodendron diversilobum (Torr. & A. Gray) Greene","Pacific poison oak","Anacardiaceae"
"TODI","RHDI6","Rhus diversiloba Torr. & A. Gray","","Anacardiaceae"
"TODI","TORAD2","Toxicodendron radicans (L.) Kuntze ssp. diversilobum (Torr. & A. Gray) Thorne","","Anacardiaceae"
"TORY","","Toxicodendron rydbergii (Small ex Rydb.) Greene","western poison ivy","Anacardiaceae"
"TORY","RHRAR","Rhus radicans L. var. rydbergii (Small ex Rydb.) Rehder","","Anacardiaceae"
"TORY","RHRAV","Rhus radicans L. var. vulgaris (Michx.) DC.","","Anacardiaceae"
"TORY","RHTOV2","Rhus toxicodendron L. var. vulgaris Michx.","","Anacardiaceae"
"TORY","TOCR2","Toxicodendron crenatum Mill., nom. utique rej.","","Anacardiaceae"
"TORY","TODE2","Toxicodendron desertorum Lunell","","Anacardiaceae"
"TORY","TORAR2","Toxicodendron radicans (L.) Kuntze var. rydbergii (Small ex Rydb.) Erskine","","Anacardiaceae"
